count,title,section,link,pDate,description
1,"[이철재의 한 번 읽고 잊어버리는 영어] 개최국의 실수도, 한국의 선전도 모두...",정치,http://topclass.chosun.com/news/articleView.html?idxno=33490,2024-08-08 10:26:00,자고 깨면 서로 쥐어뜯으며 싸우는 정치인들 때문에 한동안 아예 신문을 읽지 않았다. 올림픽이 시작한 이후로 다시 톱뉴스를 살피기 시작했다. 우리 선수단의 선전 하는 모습을 기쁜 마음으로... 
2,"민주당 박찬대 “방송4법 거부는 공영방송 장악” “한동훈, 특검법 제출하라...",정치,https://www.businesspost.co.kr/BP?command=article_view&num=361627,2024-08-08 10:26:00,"윤 대통령의 반복된 거부권 행사가 정치 실종의 근본적 원인이라고 비판했다. 박 원내대표는 &quot;대통령이... 것&quot;이라며 &quot;정치를 복원하려면 대통령과 여당, 특히 대통령의 태도가 바뀌어야한다&quot;고 목소리를 높였다. 채상병... "
3,'4대강 유역개발사업'과 기후환경 대응,정치,http://www.ilyoseoul.co.kr/news/articleView.html?idxno=491535,2024-08-08 10:26:00,박정희 대통령은 치산·치수로 물 걱정 없는 나라를 만드는 것이 '위민(爲民) 정치'의 시작이라고 봤다. 1970년대 당시는 거의 매년 홍수나 가뭄을 겪었다. 그 피해가 막심해 인명 피해를 빼고도 한 해 평균 홍수는 60여억... 
4,뉴욕증시 한파에 반등세 꺾인 코스피 외국인·기관 이탈 속 삼성전자 2%↓,정치,http://www.smedaily.co.kr/news/articleView.html?idxno=300009,2024-08-08 10:26:00,7일(현지시간) 헤르지 할레비 이스라엘군 참모총장이 하마스 새 최고 정치지도자로 선출된 야히야 신와르를 향해 &quot;우리는 그를 찾아내 공격할 것&quot;이라고 밝히면서 불안감이 커진 상태다. 야히야 신와르는... 
5,박찬대 “퍼팩트 스톰 위기서 尹대통령 안보여”,정치,https://n.news.naver.com/mnews/article/009/0005347183?sid=100,2024-08-08 10:24:00,"국회를 통과한 법안을 대통령이 거부권을 행사하고 국회는 다시 재의결하지만 결국 폐기되는 악순환이 반복되는 것을 두고 박 원내대표는 “일방통행, 고집불통, 막무가내로 밀어붙이는 대통령의 리더십이 정치가... "
6,"연세대, '허위 인턴확인서' 조국 아들 석사 학위 결국 '취소'",정치,https://www.ngonews.kr/news/articleView.html?idxno=154740,2024-08-08 10:24:00,조씨는 지난 2018년 1학기 연세대 정치외교학 석사 과정에 응시해 합격했고 2021년 석사 학위를 받았는데 입학 전형 당시 조씨는 법무법인 청맥 소속 변호사였던 최 전 의원이 발급한 문제의 인턴 확인서를 제출했다. 이에... 
7,한동훈 “취약계층 130만가구에 전기요금 1만5천원 추가 지원”,정치,https://www.ekn.kr/web/view.php?key=20240808026040125,2024-08-08 10:24:00,한 대표는 “국민의 고통에 할 수 있는 방안으로서 원칙을 지키면서 신속하게 반응하는 것이 민생&quot;이라며 “국민의힘은 그런 정치를 하겠다&quot;고 밝혔다. 이원희 기자 wonhee4544@ekn.kr “에너지바우처 예산 잔액 활용... 
8,"글로벌 리더들과 연일 설전 중인 머스크, 이번엔 英 총리 겨냥",정치,https://n.news.naver.com/mnews/article/366/0001010608?sid=104,2024-08-08 10:23:00,"머스크, X에 연일 스타머 비판 글 올려 일부 英 의원들은 청문회 소환 가능성 언급 머스크의 정치적 행보에... 일각에서는 머스크의 정치적 행보에 대해 주목하고 있다. 그간 머스크는 여러 차례 각국 지도자들과 갈등을... "
9,"김홍걸 “DJ 사저, 무료 민간기념관될 것…문화재지정 거부당해”",정치,https://n.news.naver.com/mnews/article/009/0005347180?sid=100,2024-08-08 10:22:00,“현역 정치인 중 신정훈 의원 한 분뿐이다. 다른 분들은 연락이 없다”고 덧붙였다. 그는 “박지원 의원을... 이제 정부나 지자체에서 못 하는데 정치인들이 얘기를 한다고 그래서 과연 될 것인가”라고 지적했다. 그는... 
10,"'허위 인턴 확인서' 조국 아들, 연세대 석사 학위 취소",정치,https://n.news.naver.com/mnews/article/025/0003378627?sid=102,2024-08-08 10:22:00,조씨는 2017학년도 2학기 연세대 정치외교학 석·박사 통합과정에서 탈락한 뒤 2018년 1학기 동일 전공의 석사 과정에 재응시해 합격했고 2021년 석사 학위를 받았다. 입학 전형 당시 조씨는 법무법인 청맥 소속 변호사였던... 
11,"김홍걸 “동교동 사저, 커피숍 아니라 민간 기념관 되는 것”",정치,https://n.news.naver.com/mnews/article/028/0002701813?sid=100,2024-08-08 10:22:00,분뿐”이라며 정치권에 서운함도 표시했다. 김 전 의원은 8일 시비에스(CBS) 라디오 인터뷰에서 “잘못 알려진... 최근 뒤늦게 재매입 논의에 들어간 더불어민주당 등 정치권을 향해서는 서운함을 표시했다. 김 전 의원은... 
12,"연세대학교, 조국 아들 대학원 입학·석사학위 모두 '취소'",정치,https://n.news.naver.com/mnews/article/031/0000860321?sid=102,2024-08-08 10:21:00,"조 씨는 2017학년도 2학기 연세대 정치외교학 석·박사 통합 과정에서 탈락한 뒤 2018년 1학기 동일 전공 석사 과정에 재응시해 합격, 2021년 석사 학위를 받았다. 입학 전형 당시 조 씨는 법무법인 청맥 소속 변호사였던... "
13,광복절 앞두고 특별사면 심사 돌입... &quot;김경수·조윤선 등 거론&quot;,정치,https://www.kmaeil.com/news/articleView.html?idxno=467164,2024-08-08 10:20:00,"김경수 전 경남지사 등 1373명이 사면됐으며, 같은 해 8월 광복절 특사에서는 2176명에 대해 사면이 이뤄졌다. 올해 설 특사에는 김관진 전 국방부 장관 등 여야 정치인 7명과 최재원 SK그룹 수석부회장 등이 포함됐다."
14,"고민정, 민주당 '채상병 특검법' 세 번째 발의에 &quot;국회는 협상의 공간&quot;",정치,http://www.sisafocus.co.kr/news/articleView.html?idxno=322318,2024-08-08 10:20:00,한편 국민의힘 신임 정책위의장인 김상훈 의원은 이날 SBS라디오 '김태현의 정치쇼'에 출연하여 민주당 측에서 세 번째 발의를 시도하고 나선 채상병 특검법안에 대해 &quot;아직 당내에서 의견수렴을 하고 있는 단계는 아니다... 
15,'금투세 폐지' 몰아치는 당정...이재명만 기다리는 민주당,정치,https://n.news.naver.com/mnews/article/082/0001283128?sid=100,2024-08-08 10:20:00,"대형 악재를 그냥 방치한다는 것은 정치 도리가 아니다&quot;고 지적했다. 한 대표는 페이스북에 &quot;연임이 확정적인 이재명 민주당 대표가 나오면 더 좋겠지만, 어렵다면 박찬대 대표 직무대행과 공개 토론하겠다&quot;고 적기도... "
16,[마켓뷰] 흘러내리는 美 증시에…코스피도 &quot;불안하네&quot;,정치,http://www.fntoday.co.kr/news/articleView.html?idxno=329776,2024-08-08 10:20:00,7일(현지시간) 헤르지 할레비 이스라엘군 참모총장이 하마스 새 최고 정치지도자로 선출된 야히야 신와르를 향해 &quot;우리는 그를 찾아내 공격할 것&quot;이라고 밝히면서 불안감이 커진 상태다. 야히야 신와르는... 
17,한동훈 &quot;취약계층 130만 가구에 전기요금 1만5000원 지원&quot;,정치,https://www.asiatime.co.kr/article/20240808500084,2024-08-08 10:20:00,마지막으로 한 대표는 &quot;국민의 고통에 할 수 있는 방안으로서 원칙을 지키면서 신속하게 반응하는 것이 민생&quot;이라며 &quot;국민의힘은 그런 정치를 하겠다&quot;고 강조했다. /정상명 기자
18,한동훈 &quot;취약계층 130만가구 전기요금 1만5천원 추가 지원&quot;,정치,http://www.fntoday.co.kr/news/articleView.html?idxno=329791,2024-08-08 10:20:00,진행될 것&quot;이라며 &quot;그래서 한전 적자 가중 위험도 없다&quot;고 덧붙였다. 한 대표는 &quot;국민의 고통에 할 수 있는 방안으로서 원칙을 지키면서 신속하게 반응하는 것이 민생&quot;이라며 &quot;국민의힘은 그런 정치를 하겠다&quot;고 밝혔다.
19,해리스 러닝메이트 팀 월즈의 경쟁력은 ‘지극히 평범함’,정치,https://n.news.naver.com/mnews/article/366/0001010605?sid=104,2024-08-08 10:19:00,"쉽고 정치인과 다르다는 이미지” 청바지와 챙모자, 플리스 재킷과 뿔테 안경. 민주당 대선 후보인 카멀라... 여기다 월즈는 아이비리그 학교에 다닌 적이 없고, 정치 회고록을 쓴 적도 없다. 월즈는 한때 아칸소주... "
20,"박찬대 &quot;尹, '묻지마 거부권'은 독재 선언&quot;",정치,https://n.news.naver.com/mnews/article/277/0005456665?sid=100,2024-08-08 10:19:00,"나아가 &quot;정치를 복원하려면 특히 대통령의 태도가 바뀌어야 한다&quot;며 &quot;대통령이 경제위기, 민생위기 극복을 위한 진정성을 보여줘야 한다&quot;고 말했다. 박 원내대표는 이러한 상황을 '거부권 남용'이라고 규정하고, 여당인... "
21,"연세대, 조국 대표아들 석사 학위 취소",정치,https://n.news.naver.com/mnews/article/014/0005225005?sid=102,2024-08-08 10:19:00,앞서 연세대 측은 2022년부터 조씨의 정치외교학과 대학원 학위 유지 여부를 논의하기 위한 공정위를... 조씨는 2017학년도 2학기 연세대 정치외교학 석·박사 통합과정에서 탈락한 뒤 2018년 1학기 동일 전공의 석사 과정에... 
22,한동훈 &quot;금투세 시행 시 1400만 개미 피해…민주당 누구든 토론하자&quot;,정치,https://n.news.naver.com/mnews/article/421/0007717941?sid=100,2024-08-08 10:18:00,"게 정치&quot;라고 지적했다. 이어 &quot;해외발 주가폭락으로 민주당이 금투세 관련 토론을 취소했는데, 국민들이... 같은 당 김재원 의원도 &quot;1989년 대만에서도 불로소득에 세금을 부과하자는 정치권의 요구로 금투세를 시행했는데... "
23,"김대중 대통령 '사저'는 팔리고, '생가'는 문화유산 지정(종합)",정치,http://www.namdonews.com/news/articleView.html?idxno=783756,2024-08-08 10:18:00,정치권에서는 DJ 사저를 공공장소로 만들어 문화유산화 해야 한다는 목소리가 높아지고 있다. 지역 정가에서는 &quot;DJ사저는 독재정권의 가택연금과 사형선고를 견디며 투쟁하신 대한민국의 민주화와 인권신장의 상징으로... 
24,"연세대, '허위 인턴확인서' 조국 대표 아들 석사학위 취소",정치,https://n.news.naver.com/mnews/article/003/0012716939?sid=102,2024-08-08 10:18:00,조씨는 지난 2018년 1학기 연세대 정치외교학 석사 과정에 응시해 합격했다. 입시 과정에서 당시 변호사로 일하던 최강욱 전 의원이 발급해 준 인턴확인서를 대학에 제출했다. 지난해 9월18일 대법원 전원합의체(주심... 
25,"김홍걸 &quot;DJ 사저 매각, 차선의 선택…정치권 연락 없어&quot;",정치,https://n.news.naver.com/mnews/article/029/0002893777?sid=100,2024-08-08 10:18:00,둘 중의 한 명과는 접촉해야 하는 게 아니겠나&quot;라며 &quot;그런데 정치권에서 한 번도 연락이 온 적이 없다&quot;고 말했다. 그는 &quot;보도가 나간 후 저에게 연락을 주신 현역의원은 국회 행안위원장 신정훈 의원 한 분뿐&quot;이라고도 했다.
26,정진욱 의원 &quot;배달수수료 인상 강행 배달의민족 '국민적 저항' 직면할 것&quot;,정치,http://www.namdonews.com/news/articleView.html?idxno=783757,2024-08-08 10:18:00,정 의원은 &quot;지난달 10일 배민이 수수료 인상안을 발표한 이후 민주당 등 정치권은 물론 정부와 중소상인... 외면한다면 정치권은 물론 정부와 소비자 등 이해관계자 모두 나서 법적·행정적규제는 물론 '국민적 저항' 등... 
27,"연세대, 조국 아들 석사 학위 취소…'허위 인턴 확인서' 논란",정치,https://n.news.naver.com/mnews/article/656/0000100610?sid=100,2024-08-08 10:16:00,"조 씨는 2017년 2학기 연세대 정치외교학 석·박사 통합 과정에서 탈락한 뒤 2018년 1학기 동일 전공 석사 과정에 재응시, 합격했다. 그는 입시 과정에서 2017년 10월 당시 법무법인 청맥 변호사로 일하던 최 전 의원이 허위로... "
28,"연세대, 조국 아들 입학·석사 학위 취소",정치,https://www.ajunews.com/view/20240808093625237,2024-08-08 10:16:00,조씨는 2017학년도 2학기 연세대 정치외교학 석·박사 통합과정에서 탈락한 뒤 2018년 1학기 동일 전공 석사 과정에 재응시해 합격했다. 조씨는 연세대 대학원 입시에서 2017년 10월 당시 법무법인 청맥 변호사로 일하던 최... 
29,"[이슈] 배임죄 의혹 불거진 임종룡 우리금융 회장, 연임 가능성 '적신호'",정치,http://www.lkp.news/news/articleView.html?idxno=53292,2024-08-08 10:16:00,"◆ 임종룡 우리금융 회장, 배임 혐의로 금융회사 임원 자격 논란 지난 7일 정치권에 따르면 황운하 국회의원은 지난 1일 금융회사 및 대부업 임원의 결격사유를 강화하는 '금융회사의 지배구조에 관한 법률 일부개정법률안... "
30,"한동훈, 금투세 토론회 거듭 압박…“민주당이 원하는 시간-장소-토론자로 하...",정치,https://n.news.naver.com/mnews/article/016/0002347074?sid=100,2024-08-08 10:15:00,"물가도, 금투세도 잡는 것이 정치”라고 강조했다. 한 대표는 “진성준 정책위의장은 아주 강력하게, 최근 민주당에서 보기 드물 정도로 이재명 전 대표와 입장과 다른 입장을 내고 있다”며 “(금투세는) 대단히 중요한... "
31,"헤즈볼라, 이스라엘 보복 임박…&quot;이란과 별개로 공격 계획&quot;",정치,https://n.news.naver.com/mnews/article/018/0005807427?sid=104,2024-08-08 10:15:00,"이스라엘은 레바논 공습은 점령지인 골란고원 폭격에 따른 보복 공격으로 인정했지만, 하마스의 최고 정치지도자였던 이스마일 하니예 암살에 대한 개입은 확인하지도 부인하지도 않았다. 이후 전 세계 국가들은 중동... "
32,야 박성준 &quot;국정 가장 큰 문제는 윤…여야 대표 회담보다 영수회담이 우선&quot;,정치,https://n.news.naver.com/mnews/article/003/0012716931?sid=100,2024-08-08 10:15:00,박 수석부대표는 이날 라디오 '김태현의 정치쇼'에서 '여야 대표 회담하고 그다음에 영수회담 해도 상관없느냐'는 물음에 &quot;영수회담의 틀이 먼저 가야 되지 않겠냐 이렇게 생각하고 있다&quot;고 답했다. 그는 &quot;여야의 문제... 
33,[정치쇼] 박성준 &quot;금투세 큰 가닥은 나와…새 지도부와 정책위의장이 조율 가...,정치,https://n.news.naver.com/mnews/article/055/0001179758?sid=100,2024-08-08 10:15:00,"- DJ 사저 매각, 당도 그냥 지나갈 문제 아냐 ■ 방송 : SBS 김태현의 정치쇼 (FM 103.5 MHz 7:00 ~ 9:00) ■ 일자 : 2024년... 인터뷰 인용 보도 시, 아래와 같이 채널명과 정확한 프로그램명을 밝혀주시기 바랍니다. [SBS 김태현의 정치쇼]"
34,"연세대, ‘허위 인턴확인서’ 조국 대표 아들 석사 학위 취소",정치,https://n.news.naver.com/mnews/article/081/0003470871?sid=102,2024-08-08 10:15:00,연세대 측은 2022년부터 조씨의 정치외교학과 대학원 학위 유지 여부를 논의하기 위한 공정위를 구성했다.... 조씨는 2017학년도 2학기 연세대 정치외교학 석·박사 통합과정에서 탈락한 뒤 2018년 1학기 동일 전공 석사... 
