movieCode,key,value
20210544,movieCd,20210544
20210544,movieNm,웅남이
20210544,movieNmEn,woongnami
20210544,movieNmOg,
20210544,showTm,97
20210544,prdtYear,2023
20210544,openDt,20230322
20210544,prdtStatNm,개봉
20210544,typeNm,장편
20211317,movieCd,20211317
20211317,movieNm,살수
20211317,movieNmEn,THE ASSASSIN
20211317,movieNmOg,殺手
20211317,showTm,100
20211317,prdtYear,2022
20211317,openDt,20230222
20211317,prdtStatNm,개봉
20211317,typeNm,장편
20214823,movieCd,20214823
20214823,movieNm,유령
20214823,movieNmEn,Phantom
20214823,movieNmOg,
20214823,showTm,132
20214823,prdtYear,2022
20214823,openDt,20230118
20214823,prdtStatNm,개봉
20214823,typeNm,장편
20224572,movieCd,20224572
20224572,movieNm,아부쟁이
20224572,movieNmEn,
20224572,movieNmOg,
20224572,showTm,91
20224572,prdtYear,2020
20224572,openDt,20220616
20224572,prdtStatNm,개봉
20224572,typeNm,장편
20217826,movieCd,20217826
20217826,movieNm,육사오(6/45)
20217826,movieNmEn,6/45
20217826,movieNmOg,
20217826,showTm,113
20217826,prdtYear,2022
20217826,openDt,20220824
20217826,prdtStatNm,개봉
20217826,typeNm,장편
20217905,movieCd,20217905
20217905,movieNm,데시벨
20217905,movieNmEn,Decibel
20217905,movieNmOg,
20217905,showTm,109
20217905,prdtYear,2021
20217905,openDt,20221116
20217905,prdtStatNm,개봉
20217905,typeNm,장편
20208051,movieCd,20208051
20208051,movieNm,신황제를 위하여
20208051,movieNmEn,
20208051,movieNmOg,
20208051,showTm,99
20208051,prdtYear,2020
20208051,openDt,20221219
20208051,prdtStatNm,개봉
20208051,typeNm,장편
20205106,movieCd,20205106
20205106,movieNm,압꾸정
20205106,movieNmEn,MEN OF PLASTIC
20205106,movieNmOg,
20205106,showTm,111
20205106,prdtYear,2022
20205106,openDt,20221130
20205106,prdtStatNm,개봉
20205106,typeNm,장편
20228532,movieCd,20228532
20228532,movieNm,한산 리덕스
20228532,movieNmEn,Hansan: Rising Dragon REDUX
20228532,movieNmOg,
20228532,showTm,150
20228532,prdtYear,2021
20228532,openDt,20221116
20228532,prdtStatNm,개봉
20228532,typeNm,장편
20219628,movieCd,20219628
20219628,movieNm,정직한 후보2
20219628,movieNmEn,Honest Candidate 2
20219628,movieNmOg,
20219628,showTm,106
20219628,prdtYear,2022
20219628,openDt,20220928
20219628,prdtStatNm,개봉
20219628,typeNm,장편
20209343,movieCd,20209343
20209343,movieNm,한산: 용의 출현
20209343,movieNmEn,Hansan: Rising Dragon
20209343,movieNmOg,
20209343,showTm,129
20209343,prdtYear,2021
20209343,openDt,20220727
20209343,prdtStatNm,개봉
20209343,typeNm,장편
20201875,movieCd,20201875
20201875,movieNm,선데이리그
20201875,movieNmEn,Sunday League
20201875,movieNmOg,
20201875,showTm,83
20201875,prdtYear,2020
20201875,openDt,20221005
20201875,prdtStatNm,개봉
20201875,typeNm,장편
20216224,movieCd,20216224
20216224,movieNm,오! 마이 고스트
20216224,movieNmEn,Oh! My Ghost
20216224,movieNmOg,
20216224,showTm,97
20216224,prdtYear,2022
20216224,openDt,20220915
20216224,prdtStatNm,개봉
20216224,typeNm,장편
20211472,movieCd,20211472
20211472,movieNm,늑대사냥
20211472,movieNmEn,Project Wolf Hunting
20211472,movieNmOg,
20211472,showTm,121
20211472,prdtYear,2022
20211472,openDt,20220921
20211472,prdtStatNm,개봉
20211472,typeNm,장편
20215601,movieCd,20215601
20215601,movieNm,공조2: 인터내셔날
20215601,movieNmEn,Confidential Assignment2: International
20215601,movieNmOg,
20215601,showTm,128
20215601,prdtYear,2021
20215601,openDt,20220907
20215601,prdtStatNm,개봉
20215601,typeNm,장편
20226799,movieCd,20226799
20226799,movieNm,부적: 남의 운을 빼앗는 자
20226799,movieNmEn,
20226799,movieNmOg,
20226799,showTm,80
20226799,prdtYear,2022
20226799,openDt,20220907
20226799,prdtStatNm,개봉
20226799,typeNm,장편
20211792,movieCd,20211792
20211792,movieNm,헌트
20211792,movieNmEn,HUNT
20211792,movieNmOg,
20211792,showTm,125
20211792,prdtYear,2022
20211792,openDt,20220810
20211792,prdtStatNm,개봉
20211792,typeNm,장편
20208446,movieCd,20208446
20208446,movieNm,외계+인 1부
20208446,movieNmEn,Alienoid
20208446,movieNmOg,
20208446,showTm,142
20208446,prdtYear,2022
20208446,openDt,20220720
20208446,prdtStatNm,개봉
20208446,typeNm,장편
20226207,movieCd,20226207
20226207,movieNm,비욘드 라이브 더 무비: 엑소의 사다리 타고 세계여행3
20226207,movieNmEn,Beyond LIVE the movie : EXO’s Travel the world on a ladder 3
20226207,movieNmOg,
20226207,showTm,124
20226207,prdtYear,2022
20226207,openDt,20220727
20226207,prdtStatNm,개봉
20226207,typeNm,장편
20225186,movieCd,20225186
20225186,movieNm,더 킬러: 죽어도 되는 아이
20225186,movieNmEn,THE KILLER _ A GIRL WHO DESERVES TO DIE
20225186,movieNmOg,
20225186,showTm,95
20225186,prdtYear,2022
20225186,openDt,20220713
20225186,prdtStatNm,개봉
20225186,typeNm,장편
20225479,movieCd,20225479
20225479,movieNm,핸썸
20225479,movieNmEn,
20225479,movieNmOg,
20225479,showTm,93
20225479,prdtYear,2021
20225479,openDt,20220713
20225479,prdtStatNm,개봉
20225479,typeNm,장편
20224882,movieCd,20224882
20224882,movieNm,마녀(魔女) Part2. The Other One
20224882,movieNmEn,The Witch: Part 2. The Other One
20224882,movieNmOg,
20224882,showTm,137
20224882,prdtYear,2021
20224882,openDt,20220615
20224882,prdtStatNm,개봉
20224882,typeNm,장편
20196306,movieCd,20196306
20196306,movieNm,일진 3
20196306,movieNmEn,
20196306,movieNmOg,
20196306,showTm,80
20196306,prdtYear,2018
20196306,openDt,20220625
20196306,prdtStatNm,개봉
20196306,typeNm,장편
20180382,movieCd,20180382
20180382,movieNm,일진 2
20180382,movieNmEn,
20180382,movieNmOg,
20180382,showTm,81
20180382,prdtYear,2018
20180382,openDt,20220625
20180382,prdtStatNm,개봉
20180382,typeNm,장편
20200741,movieCd,20200741
20200741,movieNm,대가리3-일진후배들
20200741,movieNmEn,
20200741,movieNmOg,
20200741,showTm,105
20200741,prdtYear,2020
20200741,openDt,20220624
20200741,prdtStatNm,개봉
20200741,typeNm,장편
20191223,movieCd,20191223
20191223,movieNm,대가리2-학교무림
20191223,movieNmEn,
20191223,movieNmOg,
20191223,showTm,83
20191223,prdtYear,2019
20191223,openDt,20220624
20191223,prdtStatNm,개봉
20191223,typeNm,장편
20194425,movieCd,20194425
20194425,movieNm,대가리
20194425,movieNmEn,
20194425,movieNmOg,
20194425,showTm,83
20194425,prdtYear,2019
20194425,openDt,20220624
20194425,prdtStatNm,개봉
20194425,typeNm,장편
20224866,movieCd,20224866
20224866,movieNm,히든
20224866,movieNmEn,
20224866,movieNmOg,
20224866,showTm,95
20224866,prdtYear,2021
20224866,openDt,20220525
20224866,prdtStatNm,개봉
20224866,typeNm,장편
20224304,movieCd,20224304
20224304,movieNm,피는 물보다 진하다
20224304,movieNmEn,The Goblin
20224304,movieNmOg,
20224304,showTm,90
20224304,prdtYear,2022
20224304,openDt,20220525
20224304,prdtStatNm,개봉
20224304,typeNm,장편
20219273,movieCd,20219273
20219273,movieNm,영희
20219273,movieNmEn,Young-hee
20219273,movieNmOg,
20219273,showTm,112
20219273,prdtYear,2021
20219273,openDt,20220501
20219273,prdtStatNm,개봉
20219273,typeNm,장편
20201792,movieCd,20201792
20201792,movieNm,액션동자
20201792,movieNmEn,Action Dongja
20201792,movieNmOg,
20201792,showTm,98
20201792,prdtYear,2022
20201792,openDt,20220505
20201792,prdtStatNm,개봉
20201792,typeNm,장편
20225055,movieCd,20225055
20225055,movieNm,뜨거운 피: 디 오리지널
20225055,movieNmEn,Hot Blooded: The Original
20225055,movieNmOg,
20225055,showTm,141
20225055,prdtYear,2019
20225055,openDt,20220526
20225055,prdtStatNm,개봉
20225055,typeNm,장편
20196906,movieCd,20196906
20196906,movieNm,스텔라
20196906,movieNmEn,Stellar
20196906,movieNmOg,
20196906,showTm,98
20196906,prdtYear,2021
20196906,openDt,20220406
20196906,prdtStatNm,개봉
20196906,typeNm,장편
20219711,movieCd,20219711
20219711,movieNm,늑대들
20219711,movieNmEn,Wolves
20219711,movieNmOg,
20219711,showTm,99
20219711,prdtYear,2021
20219711,openDt,20220427
20219711,prdtStatNm,개봉
20219711,typeNm,장편
20223939,movieCd,20223939
20223939,movieNm,부기나이트
20223939,movieNmEn,BOOGIE NIGHTS
20223939,movieNmOg,
20223939,showTm,88
20223939,prdtYear,2022
20223939,openDt,20220428
20223939,prdtStatNm,개봉
20223939,typeNm,장편
20211931,movieCd,20211931
20211931,movieNm,아이돌레시피
20211931,movieNmEn,Idol Recipe
20211931,movieNmOg,
20211931,showTm,102
20211931,prdtYear,2021
20211931,openDt,20220317
20211931,prdtStatNm,개봉
20211931,typeNm,장편
20223329,movieCd,20223329
20223329,movieNm,짬뽕비권
20223329,movieNmEn,
20223329,movieNmOg,
20223329,showTm,81
20223329,prdtYear,2021
20223329,openDt,20220202
20223329,prdtStatNm,개봉
20223329,typeNm,장편
20223137,movieCd,20223137
20223137,movieNm,효자
20223137,movieNmEn,
20223137,movieNmOg,
20223137,showTm,116
20223137,prdtYear,2021
20223137,openDt,20220127
20223137,prdtStatNm,개봉
20223137,typeNm,장편
20212705,movieCd,20212705
20212705,movieNm,트로트는 인생이다
20212705,movieNmEn,Trot is Life
20212705,movieNmOg,
20212705,showTm,76
20212705,prdtYear,2021
20212705,openDt,20220127
20212705,prdtStatNm,개봉
20212705,typeNm,장편
20223416,movieCd,20223416
20223416,movieNm,파이널 싸움의 기술
20223416,movieNmEn,
20223416,movieNmOg,
20223416,showTm,86
20223416,prdtYear,2021
20223416,openDt,20220121
20223416,prdtStatNm,개봉
20223416,typeNm,장편
20210544,movieCd,20210544
20210544,movieNm,웅남이
20210544,movieNmEn,woongnami
20210544,movieNmOg,
20210544,showTm,97
20210544,prdtYear,2023
20210544,openDt,20230322
20210544,prdtStatNm,개봉
20210544,typeNm,장편
20211317,movieCd,20211317
20211317,movieNm,살수
20211317,movieNmEn,THE ASSASSIN
20211317,movieNmOg,殺手
20211317,showTm,100
20211317,prdtYear,2022
20211317,openDt,20230222
20211317,prdtStatNm,개봉
20211317,typeNm,장편
20214823,movieCd,20214823
20214823,movieNm,유령
20214823,movieNmEn,Phantom
