movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20242641,산이 부른다,The Mountain,2022.0,,장편,개봉예정,프랑스,"드라마,미스터리",프랑스,드라마
20242794,임영웅│아임 히어로 더 스타디움,LIM YOUNG WOONG│IM HERO THE STADIUM,2024.0,,장편,개봉예정,한국,"공연,다큐멘터리",한국,공연
20231404,러브 달바,Love According to Dalva,2022.0,20240814.0,장편,개봉예정,프랑스,드라마,프랑스,드라마
20242911,마야,MADA,2024.0,,장편,개봉예정,베트남,공포(호러),베트남,공포(호러)
20249188,에이리언: 로물루스,Alien: Romulus,2024.0,20240814.0,장편,개봉예정,"영국,미국","공포(호러),SF",영국,공포(호러)
20225969,늘봄가든,SPRING GARDEN,2024.0,20240821.0,장편,개봉예정,한국,"공포(호러),스릴러",한국,공포(호러)
20242943,[마이 아티 필름] 더보이즈 선우: 누난 너무 예뻐,[MY ARTi FILM] THE BOYZ SUNWOO: Replay,2024.0,20240731.0,단편,기타,한국,드라마,한국,드라마
20020061,집으로...,The Way Home,2002.0,20020404.0,장편,개봉,한국,드라마,한국,드라마
20236494,초콜릿,Chocolate,2023.0,,장편,후반작업,한국,드라마,한국,드라마
20241991,키시베 로한 루브르에 가다,Rohan at the Louvre,2023.0,,장편,개봉예정,일본,"미스터리,판타지",일본,미스터리
20225687,아이 머스트 퀴트 매스터베이팅,I Must Quit Masturbating,2019.0,,단편,기타,한국,"코미디,멜로/로맨스",한국,코미디
20242942,미씽: 남겨진 아이들,M,2023.0,,장편,개봉준비,마케도니아,"SF,드라마",마케도니아,SF
20112979,희생,The Sacrifice,1986.0,19950525.0,장편,개봉,"스웨덴,영국,프랑스",드라마,스웨덴,드라마
20241981,여사친 남사친 섹스가능2,,2023.0,20240712.0,장편,개봉,일본,성인물(에로),일본,성인물(에로)
20241180,"괜찮아, 앨리스","OK, Alice",2023.0,,장편,개봉예정,한국,다큐멘터리,한국,다큐멘터리
20241917,신주쿠에서 소악마 꼬시기2,,2023.0,20240712.0,장편,개봉,일본,성인물(에로),일본,성인물(에로)
20242731,2023 심규선 단독 콘서트 : 우리 앞의 세계,,2024.0,20240727.0,장편,개봉예정,한국,공연,한국,공연
20242772,통일오라,Unification Orah,2024.0,,장편,기타,한국,다큐멘터리,한국,다큐멘터리
20242544,깊이 빠져 보다: 알버트,DEEP DIVE SPACE: ALBERT,2023.0,,단편,기타,한국,기타,한국,기타
20242941,헤어나올 수 없는 시아버지의 유혹,,2022.0,,장편,기타,일본,성인물(에로),일본,성인물(에로)
20242829,레이어스 오브 라이즈,Layers of Lies,2022.0,,장편,기타,핀란드,"액션,드라마",핀란드,액션
20242005,형수님에게 발정 난 시동생,,2024.0,20240725.0,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20242004,아저씨랑 섹스하고 싶어요,,2024.0,20240725.0,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20241918,신도시 엄마들 파이널,,2024.0,20240723.0,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20241109,블러디 이스케이프: 지옥의 도주극,BLOODY ESCAPE,2024.0,20240725.0,장편,개봉,일본,애니메이션,일본,애니메이션
19800041,나를 보러와요,Come And See Me,1980.0,19800710.0,장편,개봉,한국,드라마,한국,드라마
19830051,비련,Tragic Love,1983.0,19830423.0,장편,개봉,한국,"드라마,멜로/로맨스",한국,드라마
19799096,중원의 백일홍,Zinnia In Plain,1979.0,,장편,기타,한국,액션,한국,액션
19779110,무명객,Mission Ginseng,1977.0,,장편,기타,한국,액션,한국,액션
19758144,새벽에 온 방문객,Visitor in Dawn,1975.0,19750719.0,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스
19780129,불타는 소림사,Shaolin Temple On Fire,1978.0,,장편,기타,한국,액션,한국,액션
